"","deposit","filter","grazer","parasite","plankton","predator","scavenger","suspension","xylophagous"
"Kajikia albida",0,0,0,0,0,1,0,0,0
"Keratoisis ornata",0,0,0,0,0,0,0,1,0
"Kogia breviceps",0,0,0,0,0,1,0,0,0
"Kogia sima",0,0,0,0,0,1,0,0,0
"Laemonema barbatulum",0,0,0,0,0,1,0,0,0
"Lagenodelphis hosei",0,0,0,0,0,1,0,0,0
"Lagenorhynchus acutus",0,0,0,0,0,1,0,0,0
"Lagenorhynchus albirostris",0,0,0,0,0,1,0,0,0
"Laminaria digitata",0,0,0,0,0,0,0,0,0
"Laminaria longicruris",0,0,0,0,0,0,0,0,0
"Lamna nasus",0,0,0,0,0,1,0,0,0
"Lampanyctus",0,0,0,0,1,1,0,0,0
"Larus",0,0,0,0,0,1,0,0,0
"Larus argentatus",0,0,0,0,0,1,0,0,0
"Larus atricilla",0,0,0,0,0,1,0,0,0
"Larus canus",0,0,0,0,0,1,0,0,0
"Larus delawarensis",0,0,0,0,0,1,0,0,0
"Larus fuscus",0,0,0,0,0,1,0,0,0
"Larus glaucoides",0,0,0,0,0,1,0,0,0
"Larus glaucoides glaucoides",0,0,0,0,0,1,0,0,0
"Larus hyperboreus",0,0,0,0,0,1,0,0,0
"Larus marinus",0,0,0,0,0,1,0,0,0
"Larus minutus",0,0,0,0,0,1,0,0,0
"Larus philadelphia",0,0,0,0,0,1,0,0,0
"Larus pipixcan",0,0,0,0,0,1,0,0,0
"Larus tridactyla",0,0,0,0,0,1,0,0,0
"Leathesia difformis",0,0,0,0,0,0,0,0,0
"Lebbeus groenlandicus",1,0,1,0,1,0,1,0,0
"Lebbeus microceros",1,0,1,0,1,0,1,0,0
"Lebbeus polaris",1,0,1,0,1,0,1,0,0
"Lebbeus zebra",1,0,1,0,1,0,1,0,0
"Lepidion schmidti",0,0,0,0,0,1,0,0,0
"Lepophidium profundorum",0,0,0,0,0,1,0,0,0
"Leptagonus decagonus",0,0,0,0,0,1,0,0,0
"Leptasterias",0,0,0,0,0,1,0,0,0
"Leptoclinus maculatus",0,0,0,0,0,1,0,0,0
"Leptychaster arcticus",1,0,0,0,0,0,0,0,0
"Leucoraja erinacea",0,0,0,0,0,1,0,0,0
"Leucoraja ocellata",0,0,0,0,0,1,0,0,0
"Limacina",0,1,0,0,0,0,0,0,0
"Limanda ferruginea",0,0,0,0,0,1,0,0,0
"Limnodromus griseus",0,0,0,0,0,1,0,0,0
"Limnodromus scolopaceus",0,0,0,0,0,1,0,0,0
"Limosa fedoa",0,0,0,0,0,1,0,0,0
"Limosa haemastica",0,0,0,0,0,1,0,0,0
"Limosa lapponica",0,0,0,0,0,1,0,0,0
"Limosa limosa",0,0,0,0,0,1,0,0,0
"Liopsetta putnami",0,0,0,0,0,1,0,0,0
"Liparis atlanticus",0,0,0,0,0,1,0,0,0
"Liparis coheni",0,0,0,0,1,1,0,0,0
"Liparis fabricii",0,0,0,0,0,1,0,0,0
"Liparis gibbus",0,0,0,0,0,1,0,0,0
"Liparis inquilinus",0,0,0,0,1,1,0,0,0
"Liparis liparis liparis",0,0,0,0,1,1,0,0,0
"Liparis tunicatus",0,0,0,0,0,1,0,0,0
"Lipogenys gillii",0,0,0,0,0,1,0,0,0
"Liponema multicorne",0,0,0,0,0,0,0,1,0
"Lithodes maja",0,0,0,0,0,1,1,0,0
"Loligo pealeii",0,0,0,0,0,1,0,0,0
