"","Size"
"Pentamera calcigera",10
"Peprilus triacanthus",30
"Periphylla periphylla",35
"Peristedion miniatum",30
"Petromyzon marinus",120
"Phascolion strombus strombus",2.56666666666667
"Phoca vitulina",190
"Phocoena phocoena",200
"Pholis fasciata",30
"Pholis gunnellus",25
"Photostomias guernei",16
"Phronima",2.5
"Phycis chesteri",42
"Physeter macrocephalus",2400
"Plesionika martia",16.8999996185303
"Pleurobrachia pileus",2.5
"Plutonaster agassizi",2.5
"Pollachius virens",130
"Polyacanthonotus rissoanus",9.5
"Polycheles sculptus",6.61333333333333
"Polyipnus clarus",6
"Polymetme corythaeola",26
"Polymixia lowei",20
"Polymixia nobilis",48
"Polynoidae",9
"Pomatomus saltatrix",130
"Pontaster",6.8
"Pontophilus norvegicus",5.2
"Porania pulvillus",10
"Poraniomorpha",7
"Porifera",20
"Poromitra crassiceps",14.8000001907349
"Potamilla neglecta",4.5
"Primnoa resedaeformis",25
"Prionace glauca",400
"Prionotus carolinus",38
"Pseudarchaster parelii",20
"Pseudopleuronectes americanus",64
"Pseudoscopelus",14.328125
"Psilaster andromeda",10
"Psolus fabricii",7.19999998807907
"Psolus phantapus",7.19999998807907
"Pteraster militaris",15
"Pteraster obscurus",19.5
"Pteraster pulvillus",19.5
"Pterygioteuthis",3.8
"Ptychogena lactea",9
"Puffinus gravis",53
"Pusa hispida",165
"Pycnogonum litorale",1.09
"Radicipes gracilis",11
"Raja bathyphila",68.7999999306419
"Raja eglanteria",68.7999999306419
"Raja garmani",68.7999999306419
"Rajella fyllae",60
"Reinhardtius hippoglossoides",110
"Remora brachyptera",50
"Remora remora",86.4000015258789
"Reteporella grimaldii",4
"Rhachotropis aculeata",4
"Rhinochimaera atlantica",140
"Rondeletia loricata",11
"Rossia",7.0125
"Rouleina attrita",48
"Rouleina maderensis",32
"Sabinea sarsii",8
"Sabinea septemcarinata",9
"Saccorhiza dermatodea",50
"Salmo salar",150
"Saurida brasiliensis",25
"Scaphander punctostriatus",3.6
"Sclerasterias tanneri",10
"Sclerocrangon boreas",6
"Scomber scombrus",60
"Scomberesox saurus saurus",37.6666666666667
"Scopelarchus analis",12.6000003814697
"Scopeloberyx robustus",7.30000019073486
"Scopelogadus beanii",10.1999998092651
"Scopelosaurus lepidus",36.4000015258789
"Scophthalmus aquosus",45.7000007629395
"Scyliorhinus retifer",48
"Sebastes",46.9774000358582
"Securiflustra securifrons",10
"Selar crumenophthalmus",70
"Sepioloidea",4.5
"Sergia robusta",7
"Seriola dumerili",190
"Serripes groenlandicus",11
"Serrivomer beanii",78
"Sertularia polyzonias",5
"Setarches guentheri",31.3999996185303
"Siliqua",13
"Simenchelys parasitica",61
"Similipecten greenlandicus",2.5
"Solaster endeca",40
"Solemya borealis",6.7
"Somniosus microcephalus",427
"Sphoeroides maculatus",36
"Spinolambrus pourtalesii",10
"Spirontocaris fabricii",5.8
"Spirontocaris liljeborgii",5.8
"Spirontocaris phippsii",5.8
"Spirontocaris spinus",6
"Spisula solidissima",20
"Squalus acanthias",160
"Staurostoma mertensii",250
"Stauroteuthis syrtensis",11.4
"Stegocephalus inflatus",3.5
"Stenella coeruleoalba",260
"Stenella frontalis",230
"Stenotomus chrysops",46
"Stephanasterias albula",3
"Stephanauge",5
"Stephanolepis hispidus",26.1
"Stereoderma unisemita",1.10000002384186
"Stereomastis sculpta",3.1875
"Sternoptyx diaphana",5.5
"Stichaeus punctatus",22
"Stichaeus punctatus punctatus",37.9640000343323
"Stomias boa ferox",28.6200000762939
"Stomphia coccinea",12.5
"Strongylocentrotus",9.25
"Stylocordyla borealis",7
"Symbolophorus veranyi",12
"Symphurus diomedeanus",22
"Synagrops bella",29
"Synaphobranchus kaupii",100
"Syngnathus fuscus",33
"Syscenus infelix",3
"Tachyrhynchus erosus",2.5
"Tautogolabrus adspersus",38
"Tealia felina",10
"Tellina",6.37857142857143
"Terebratulina septentrionalis",5
"Teredo navalis",50
"Teuthowenia megalops",40
"Thuiaria thuja",15
"Thunnus alalunga",140
"Thunnus obesus",250
"Thunnus thynnus",458
"Thyonella pervicax",8
"Thysanoessa longicaudata",2.27833333333333
"Thysanoessa raschii",2.5
"Tonicella",3.17249995470047
"Torpedo nobiliana",56.4400000572205
"Trachyrincus murrayi",37
"Tremaster mirabilis",15
"Triglops",21.4666666984558
"Trigonolampa miriceps",32
"Tritia",2
"Tursiops truncatus",380
"Ulva",40
"Ulvaria subbifurcata",18
"Urasterias lincki",25
"Urophycis chesteri",61.9000000953674
"Urophycis chuss",66
"Urophycis regia",41
"Urophycis tenuis",133
"Urticina felina",17.9166666666667
"Vazella pourtalesi",10
"Velutinidae",4
"Venefica procera",108.800003051758
"Venericardia borealis",1
"Venus mercenaria",5.5
"Vinciguerria nimbaria",5.32000017166138
"Vomer setapinnis",25
"Wimvadocus torelli",4
"Xenodermichthys copei",31
"Xenolepidichthys dalgleishi",15
"Xiphias gladius",455
"Xylophaga atlantica",1.2
"Yoldia",2.55
"Zenopsis ocellata",63.6699994405111
"Ziphius cavirostris",750
"Zoarces americanus",110
"Zostera marina",300
